Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
trimmed_read1_3001168525-DNA.fastq.gz	imgvr_reps.fna	13.8167	10.2092	96.21	7.316	NA-NA	HIGH	NA-NA	6	7.316	19/63	96.21	0	IMGVR_UViG_3300008498_000056|3300008498|Ga0115079_100136
trimmed_read1_3001168525-DNA.fastq.gz	imgvr_reps.fna	13.6250	6.8762	95.63	7.214	NA-NA	HIGH	NA-NA	8	7.214	14/56	95.63	1	IMGVR_UViG_2548876510_000002|2548876510|2548877700
trimmed_read1_3001168525-DNA.fastq.gz	imgvr_reps.fna	12.7759	8.9702	95.63	6.765	NA-NA	HIGH	NA-NA	6	6.765	17/68	95.63	0	IMGVR_UViG_2728369568_000001|2728369568|2728455716
trimmed_read1_3001168525-DNA.fastq.gz	imgvr_reps.fna	12.3487	10.1255	96.40	6.538	NA-NA	HIGH	NA-NA	7	6.538	26/81	96.40	3	IMGVR_UViG_3300019476_000062|3300019476|Ga0197719_10017
trimmed_read1_3001168525-DNA.fastq.gz	imgvr_reps.fna	7.8692	18.1657	95.49	4.167	NA-NA	HIGH	NA-NA	3	4.167	54/226	95.49	1	IMGVR_UViG_3300007499_000009|3300007499|Ga0104982_100041
trimmed_read1_3001168525-DNA.fastq.gz	imgvr_reps.fna	7.1101	7.1772	96.77	3.765	NA-NA	HIGH	NA-NA	3	3.765	34/94	96.77	0	IMGVR_UViG_3300007278_000014|3300007278|Ga0104339_100092
trimmed_read1_3001168525-DNA.fastq.gz	imgvr_reps.fna	6.6828	3.9605	95.29	3.538	NA-NA	HIGH	NA-NA	3	3.538	13/58	95.29	2	IMGVR_UViG_3300007087_000042|3300007087|Ga0102673_100229
trimmed_read1_3001168525-DNA.fastq.gz	imgvr_reps.fna	6.5652	3.9809	96.47	3.476	NA-NA	HIGH	NA-NA	3	3.476	21/64	96.47	0	IMGVR_UViG_3300007650_000221|3300007650|Ga0105532_100037|108366-121537
trimmed_read1_3001168525-DNA.fastq.gz	imgvr_reps.fna	5.3677	3.4863	96.52	2.842	NA-NA	LOW	NA-NA	2	2.842	19/57	96.52	0	IMGVR_UViG_3300011936_000145|3300011936|Ga0119780_100293|3-14111
trimmed_read1_3001168525-DNA.fastq.gz	imgvr_reps.fna	2.6838	1.8406	95.79	1.421	NA-NA	LOW	NA-NA	1	1.421	19/72	95.79	0	IMGVR_UViG_3300029361_000336|3300029361|Ga0243815_1000757|25553-40450
trimmed_read1_3001168525-DNA.fastq.gz	imgvr_reps.fna	2.1247	3.1002	96.13	1.125	95.59-98.13	1.125	0.35-1.60	1	1.481	27/136	94.92	0	IMGVR_UViG_3300019854_000026|3300019854|Ga0206370_1176
trimmed_read1_3001168525-DNA.fastq.gz	imgvr_reps.fna	2.1247	3.4833	96.05	1.125	95.20-97.29	1.125	0.54-1.76	1	1.733	30/155	94.84	1	IMGVR_UViG_3300007285_000086|3300007285|Ga0102636_100093|16975-52587
trimmed_read1_3001168525-DNA.fastq.gz	imgvr_reps.fna	1.9880	6.0537	95.29	1.053	93.89-96.89	1.053	0.50-1.85	2	2.214	42/288	93.98	0	IMGVR_UViG_3300045988_154090|3300045988|Ga0495776_186484
trimmed_read1_3001168525-DNA.fastq.gz	imgvr_reps.fna	1.4689	2.4524	96.47	0.778	95.33-98.93	0.778	0.29-1.29	1	1.407	27/152	94.58	0	IMGVR_UViG_7000000155_000034|7000000155|SRS020862_Baylor_scaffold_11605|3323-39589
trimmed_read1_3001168525-DNA.fastq.gz	imgvr_reps.fna	1.2591	1.5398	97.90	0.667	96.45-99.58	0.667	0.35-1.27	1	2.103	29/115	95.65	0	IMGVR_UViG_3300007736_000206|3300007736|Ga0105757_1000281
trimmed_read1_3001168525-DNA.fastq.gz	imgvr_reps.fna	1.0420	1.9279	97.94	0.552	96.39-100.11	0.552	0.22-0.95	1	1.452	42/189	95.26	0	IMGVR_UViG_2868200575_000001|2868200575|2868200591
trimmed_read1_3001168525-DNA.fastq.gz	imgvr_reps.fna	0.6868	2.0391	96.50	0.364	NA-NA	0.364	NA-NA	1	1.154	26/257	92.88	0	IMGVR_UViG_3300007348_000004|3300007348|Ga0104342_100095
trimmed_read1_3001168525-DNA.fastq.gz	imgvr_reps.fna	0.4606	4.6113	95.30	0.244	93.24-96.88	0.244	0.14-0.44	1	1.109	46/945	90.71	0	IMGVR_UViG_3300007789_000002|3300007789|Ga0105762_100002
