Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
trimmed_read1_3000886283-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/245/815/GCF_000245815.1_genomic.fna.gz	43.8760	38.9612	97.96	1.270	97.83-98.10	1.270	1.17-1.35	2	1.895	2966/7821	96.92	0	NZ_JH601103.1 Dolosigranulum pigrum ATCC 51524 supercont1.1, whole genome shotgun sequence
trimmed_read1_3000886283-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/688/415/GCF_000688415.1_genomic.fna.gz	12.5243	13.5036	98.79	0.362	98.48-99.07	0.362	0.32-0.40	1	1.225	2043/9809	95.07	0	NZ_JIAH01000001.1 Corynebacterium pseudodiphtheriticum DSM 44287 O146DRAFT_scaffold00010.10_C, whole genome shotgun sequence
trimmed_read1_3000886283-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/943/913/655/GCA_943913655.1_genomic.fna.gz	7.2414	4.9951	98.07	0.210	97.38-98.78	0.210	0.16-0.26	1	0.988	679/5936	93.24	0	CALTZA010000001.1 MAG: uncultured Francisella sp. isolate G79AyWT62A_bin.4.MAG genome assembly, contig: NODE_9_length_210779_cov_13.887189, whole genome shotgun sequence
trimmed_read1_3000886283-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/960/005/GCF_000960005.1_genomic.fna.gz	6.3067	5.7598	95.12	0.183	93.79-96.05	0.183	0.13-0.28	1	1.107	290/8198	89.78	1	NZ_JYGP01000001.1 Streptococcus mitis strain OT25 TZ90_contig000001, whole genome shotgun sequence
trimmed_read1_3000886283-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/016/894/265/GCF_016894265.1_genomic.fna.gz	5.7211	6.6403	95.17	0.166	94.15-96.43	0.166	0.10-0.24	1	1.082	328/9961	89.57	2	NZ_CP069791.1 Corynebacterium tuberculostearicum strain FDAARGOS_1198 chromosome
trimmed_read1_3000886283-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/901/845/GCF_002901845.1_genomic.fna.gz	5.6915	5.9832	98.23	0.165	97.57-98.82	0.165	0.13-0.21	1	1.105	840/9599	92.44	1	NZ_PPQE01000008.1 Staphylococcus hominis subsp. hominis strain NCTC 11320 NCTC11320_e2_c10, whole genome shotgun sequence
trimmed_read1_3000886283-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/028/621/715/GCF_028621715.1_genomic.fna.gz	5.5635	8.4255	96.24	0.161	95.38-96.93	0.161	0.12-0.21	1	1.087	608/13401	90.50	0	NZ_CP117466.1 Paracoccus marcusii strain MBLB0836 chromosome, complete genome
trimmed_read1_3000886283-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/030/305/GCF_003030305.1_genomic.fna.gz	5.0646	6.0258	97.72	0.147	96.90-98.36	0.147	0.11-0.19	1	1.071	704/10561	91.63	0	NZ_CP023676.1 Cutibacterium acnes strain ATCC 6919 chromosome, complete genome
trimmed_read1_3000886283-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/902/725/GCF_002902725.1_genomic.fna.gz	5.0631	6.2937	97.02	0.147	95.90-97.76	0.147	0.11-0.21	1	1.083	590/11056	90.98	19	NZ_PPRT01000001.1 Staphylococcus caprae strain NCTC 12196 f72aa3be-e669-408b-85af-2c2ab29b1624_c1, whole genome shotgun sequence
trimmed_read1_3000886283-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/006/742/205/GCF_006742205.1_genomic.fna.gz	2.9479	3.4118	95.84	0.085	94.18-97.71	0.085	0.05-0.15	1	1.063	222/10141	88.40	25	NZ_AP019721.1 Staphylococcus epidermidis strain NBRC 100911 chromosome, complete genome
